cik,gvkey,company_name,tic,cusip,sic,naics
0000000020,6314.0,K TRON INTERNATIONAL INC,,,,
0000000051,11007.0,UC CORP,,,,
0000000063,176448.0,FNW BANCORP INC,,,,
0000000080,7596.0,MOVIE SYSTEMS INC,MOVSQ,624595104,4841.0,
0000000200,6314.0,K-TRON INTERNATIONAL INC,KTII,482730108,3823.0,334513.0
0000000510,11007.0,UC CORP,5851B,902630102,7385.0,561499.0
0000001750,1004.0,AAR CORP,,,,
0000001761,10703.0,TRANZONIC COMPANIES,,,,
0000001800,1078.0,ABBOTT LABORATORIES,,,,
0000001853,61003.0,"MOTIVNATION, INC.",,,,
0000001923,1082.0,"SERVIDYNE, INC.",,,,
0000001952,6182.0,IREX CORP,,,,
0000001961,1084.0,WORLDS INC,,,,
0000001969,1086.0,AMETECH INC,,,,
0000001985,16609.0,ACCEL INTERNATIONAL CORP,,,,
0000001988,1090.0,ACCESS CORP,,,,
0000002024,1107.0,ACE HARDWARE CORP,,,,
0000002034,1094.0,ACETO CORP,,,,
0000002036,1010.0,ACF INDUSTRIES INC,,,,
0000002050,1985.0,BALCO ENERGY CORP,BLCO.1,057901100,1311.0,
0000002062,1097.0,ACMAT CORP,,,,
0000002066,1098.0,ACME CLEVELAND CORP,,,,
0000002070,1099.0,ACME ELECTRIC CORP,,,,
0000002093,12569.0,ACME METALS INC/,,,,
0000002098,1104.0,ACME UNITED CORP,,,,
0000002120,1941.0,BIW CABLE SYSTEMS INC,BIWC,055475107,3357.0,335929.0
0000002135,30697.0,AFFILIATED COMPUTER SERVICES INC,,,,
0000002145,1108.0,ACTION INDUSTRIES INC,,,,
0000002178,1121.0,"ADAMS RESOURCES & ENERGY, INC.",,,,
0000002186,1117.0,BK TECHNOLOGIES CORP,,,,
0000002230,1119.0,"ADAMS DIVERSIFIED EQUITY FUND, INC.",,,,
0000002308,1126.0,ADDMASTER CORP,,,,
0000002310,1043.0,MULTIGRAPHICS INC,,,,
0000002435,1137.0,ADVANCE CIRCUITS INC,,,,
0000002457,1138.0,ADVANCE ROSS CORP,,,,
0000002467,1141.0,ADVANCED COMPUTER TECHNIQUES CORP,,,,
0000002488,1161.0,ADVANCED MICRO DEVICES INC,,,,
0000002491,12075.0,"BALLY TECHNOLOGIES, INC.",,,,
0000002589,1154.0,AERO SYSTEMS ENGINEERING INC,,,,
0000002601,1056.0,AEROFLEX INC,,,,
0000002619,1173.0,AEROSONIC CORP /FL/,,,,
0000002636,1175.0,AEROVOX CORP,,,,
0000002668,1019.0,AFA PROTECTIVE SYSTEMS INC,,,,
0000002732,65324.0,AFRIKANDER LEASE LTD /ADR/,,,,
0000002741,1182.0,AFTER SIX INC,,,,
0000002809,1186.0,AGNICO EAGLE MINES LTD,,,,
0000002817,1190.0,AGRI DYNAMICS INC,,,,
0000002825,10487.0,TEXAS AMERICAN RESOURCES INC,,,,
